;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,1.0,2.0,1.92,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46112,0.0,0.0,0.0,3,BOX ELDER
2,30002,15.1,46.4,3.07,3.6,1.0,2.6,0.0,4.5,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
3,30003,5.1,12.6,2.49,2.6,0.0,2.6,0.0,2.9,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,46112,0.0,0.0,0.0,3,BOX ELDER
4,30004,21.0,40.3,1.92,20.5,1.3,16.3,2.9,85.4,1.2,0.1,0.5,15.8,0.1,0.3,0.1,2.4,62.9,0.0,0.8,1.2,46112,0.0,0.0,0.0,3,BOX ELDER
5,30005,30.3,79.5,2.62,68.0,0.1,67.5,0.3,70.6,0.1,0.0,0.2,67.3,0.0,0.1,0.1,0.1,0.0,0.0,0.8,1.8,46112,0.0,0.0,0.0,3,BOX ELDER
6,30006,15.1,43.4,2.88,43.8,1.0,42.7,0.1,44.7,1.0,0.0,0.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
7,30007,0.0,0.0,0.0,130.6,3.0,117.5,10.1,152.0,1.9,1.1,64.2,53.3,0.8,2.5,1.3,5.5,14.3,0.0,7.1,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
8,30008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
9,30009,12.1,48.5,4.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,55022,0.0,0.0,0.0,3,BOX ELDER
10,30010,55.5,165.1,2.98,10.3,2.0,0.1,8.2,14.0,2.0,0.0,0.1,0.0,0.0,0.0,1.6,6.5,0.0,0.0,0.4,3.3,57798,0.0,0.0,0.0,3,BOX ELDER
11,30011,37.3,121.0,3.24,5.9,0.1,1.5,4.3,8.5,0.1,0.0,0.1,1.4,3.3,0.1,0.8,0.1,0.0,0.0,0.4,2.2,57798,0.0,0.0,0.0,3,BOX ELDER
12,30012,2.0,3.8,1.92,42.6,3.9,32.4,6.3,46.7,3.9,0.0,2.5,30.0,0.0,0.0,0.0,6.3,0.0,0.0,3.9,0.1,57798,0.0,0.0,0.0,3,BOX ELDER
13,30013,146.2,475.2,3.25,44.2,7.5,2.6,34.1,87.1,4.3,3.2,0.9,1.7,0.1,33.1,0.2,0.6,0.0,0.0,34.4,8.6,57798,0.0,0.0,0.0,3,BOX ELDER
14,30014,6.1,12.6,2.08,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,54617,0.0,0.0,0.0,3,BOX ELDER
15,30015,4.3,9.6,2.24,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.3,58870,0.0,0.0,0.0,3,BOX ELDER
16,30016,15.8,60.8,3.84,1.3,0.0,1.3,0.0,5.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.9,58870,0.0,0.0,0.0,3,BOX ELDER
17,30017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
18,30018,6.1,17.4,2.88,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.4,58870,0.0,0.0,0.0,3,BOX ELDER
19,30019,0.0,0.0,0.0,8.2,0.0,0.0,8.2,8.2,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
20,30020,0.0,0.0,0.0,77.5,57.1,13.3,7.1,80.3,21.5,35.6,1.9,11.4,0.3,5.0,0.5,1.3,0.0,0.0,2.8,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
21,30021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
22,30022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
