;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,1.5,2.4,1.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46112,0.0,0.0,0.0,3,BOX ELDER
2,30002,15.5,42.8,2.76,3.6,0.7,2.8,0.0,4.4,0.7,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,46112,0.0,0.0,0.0,3,BOX ELDER
3,30003,5.5,12.0,2.18,2.6,0.0,2.6,0.0,2.9,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,46112,0.0,0.0,0.0,3,BOX ELDER
4,30004,21.0,33.7,1.6,26.7,1.8,19.7,5.2,76.1,1.4,0.4,1.4,18.3,0.4,0.9,0.5,3.4,48.3,0.0,0.0,1.1,46112,0.0,0.0,0.0,3,BOX ELDER
5,30005,31.5,72.8,2.31,70.4,0.4,68.9,1.2,73.1,0.2,0.1,0.5,68.4,0.1,0.3,0.2,0.5,0.0,0.0,1.1,1.6,46112,0.0,0.0,0.0,3,BOX ELDER
6,30006,15.1,38.7,2.56,44.1,0.7,43.2,0.2,44.9,0.7,0.0,0.1,43.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,46112,0.0,0.0,0.0,3,BOX ELDER
7,30007,0.0,0.0,0.0,316.9,30.3,186.0,100.6,332.5,19.5,10.8,86.7,99.3,11.2,27.4,15.6,46.4,11.0,0.0,4.5,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
8,30008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
9,30009,12.3,45.4,3.69,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,55022,0.0,0.0,0.0,3,BOX ELDER
10,30010,57.1,152.0,2.66,11.4,1.9,0.5,9.0,15.6,1.8,0.1,0.3,0.2,0.1,0.2,1.7,7.1,0.0,0.0,1.1,3.0,57798,0.0,0.0,0.0,3,BOX ELDER
11,30011,38.8,113.6,2.93,7.9,0.3,2.3,5.2,11.0,0.2,0.1,0.5,1.9,3.5,0.3,0.9,0.5,0.0,0.0,1.1,2.0,57798,0.0,0.0,0.0,3,BOX ELDER
