;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,1.1,2.1,1.87,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,46112,0.0,0.0,0.0,3,BOX ELDER
2,30002,15.2,45.9,3.02,3.6,0.9,2.7,0.0,4.5,0.9,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
3,30003,5.1,12.6,2.45,2.6,0.0,2.6,0.0,2.9,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,46112,0.0,0.0,0.0,3,BOX ELDER
4,30004,21.0,39.3,1.87,24.1,1.8,18.0,4.3,87.7,1.5,0.3,1.4,16.6,0.2,0.7,0.4,3.0,61.9,0.0,0.5,1.2,46112,0.0,0.0,0.0,3,BOX ELDER
5,30005,30.5,78.6,2.57,69.4,0.3,68.2,0.9,71.8,0.2,0.1,0.6,67.6,0.1,0.3,0.2,0.4,0.0,0.0,0.5,1.8,46112,0.0,0.0,0.0,3,BOX ELDER
6,30006,15.1,42.7,2.83,44.0,0.9,42.9,0.1,44.9,0.9,0.0,0.1,42.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,46112,0.0,0.0,0.0,3,BOX ELDER
7,30007,0.0,0.0,0.0,171.8,9.5,134.6,27.7,191.9,6.2,3.3,73.9,60.7,2.7,7.8,4.3,13.0,14.1,0.0,6.1,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
8,30008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55022,0.0,0.0,0.0,3,BOX ELDER
9,30009,12.1,48.0,3.96,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,55022,0.0,0.0,0.0,3,BOX ELDER
10,30010,55.8,163.4,2.93,11.0,2.1,0.4,8.5,14.7,2.1,0.1,0.3,0.1,0.0,0.1,1.7,6.6,0.0,0.0,0.5,3.2,57798,0.0,0.0,0.0,3,BOX ELDER
11,30011,37.6,120.1,3.19,7.1,0.3,2.0,4.8,9.8,0.2,0.1,0.4,1.6,3.4,0.2,0.9,0.3,0.0,0.0,0.5,2.2,57798,0.0,0.0,0.0,3,BOX ELDER
12,30012,9.6,17.9,1.87,42.6,3.7,32.9,6.0,60.9,3.7,0.0,2.3,30.6,0.0,0.0,0.0,6.0,0.0,0.0,17.7,0.6,57798,0.0,0.0,0.0,3,BOX ELDER
13,30013,164.7,528.5,3.21,50.6,8.5,5.3,36.8,90.1,5.0,3.5,2.7,2.6,0.5,33.8,0.7,1.9,0.0,0.0,29.9,9.6,57798,0.0,0.0,0.0,3,BOX ELDER
14,30014,6.1,12.4,2.03,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,54617,0.0,0.0,0.0,3,BOX ELDER
15,30015,7.3,16.1,2.19,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.4,58870,0.0,0.0,0.0,3,BOX ELDER
16,30016,17.6,66.9,3.81,1.3,0.0,1.3,0.0,4.8,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,58870,0.0,0.0,0.0,3,BOX ELDER
17,30017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
18,30018,8.2,23.3,2.84,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,58870,0.0,0.0,0.0,3,BOX ELDER
19,30019,0.0,0.0,0.0,8.2,0.0,0.0,8.2,8.2,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
20,30020,0.0,0.0,0.0,96.9,59.3,21.8,15.7,99.9,23.3,36.0,7.2,14.6,1.2,7.6,2.0,5.0,0.0,0.0,3.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
21,30021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
22,30022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
23,30023,0.0,0.0,0.0,9.2,0.0,0.0,9.2,9.2,0.0,0.0,0.0,0.0,0.0,2.7,0.0,6.5,0.0,0.0,0.0,0.0,53211,0.0,0.0,0.0,3,BOX ELDER
24,30024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53211,0.0,0.0,0.0,3,BOX ELDER
25,30025,0.0,0.0,0.0,694.8,17.8,626.5,50.5,705.9,11.6,6.2,544.3,82.1,5.0,14.7,8.1,22.7,0.0,0.0,11.1,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
26,30026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
27,30027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58870,0.0,0.0,0.0,3,BOX ELDER
28,30028,9.2,17.2,1.87,12.3,1.3,3.1,7.8,29.5,0.9,0.5,2.2,1.0,0.4,1.1,0.6,5.8,0.0,0.0,16.7,0.5,58870,0.0,0.0,0.0,3,BOX ELDER
29,30029,9.6,17.9,1.87,281.8,11.9,233.3,36.6,307.2,7.8,4.2,199.2,34.1,3.3,9.8,5.4,18.0,0.0,0.0,24.8,0.6,57798,0.0,0.0,0.0,3,BOX ELDER
30,30030,19.2,35.9,1.87,98.9,15.7,61.4,21.8,141.5,12.9,2.8,44.2,17.2,2.3,6.6,3.6,9.3,0.0,0.0,41.5,1.1,57798,0.0,0.0,0.0,3,BOX ELDER
31,30031,33.5,84.3,2.52,102.5,17.8,58.1,26.6,177.8,14.6,3.1,48.6,9.5,2.5,7.5,4.1,12.5,0.0,0.0,73.4,1.9,58870,0.0,0.0,0.0,3,BOX ELDER
32,30032,1.6,3.1,1.87,2233.6,0.0,1481.2,752.4,2234.2,0.0,0.0,1481.2,0.0,701.3,45.2,1.6,4.3,0.0,0.0,0.5,0.1,58870,0.0,0.0,0.0,3,BOX ELDER
33,30033,124.2,511.3,4.12,15.9,1.3,3.2,11.4,48.9,0.9,0.5,2.2,1.0,0.4,3.8,1.4,5.8,0.0,0.0,25.8,7.2,57798,0.0,0.0,0.0,3,BOX ELDER
34,30034,297.4,862.2,2.9,181.2,3.2,22.9,155.1,208.6,2.8,0.4,2.1,20.8,0.4,95.9,31.7,27.2,0.0,0.0,10.1,17.3,47905,463.0,0.0,0.0,3,BOX ELDER
35,30035,171.6,529.1,3.08,3.1,0.2,0.4,2.6,37.4,0.1,0.1,0.3,0.1,0.0,0.1,0.1,2.3,0.0,0.0,24.3,10.0,58870,0.0,0.0,0.0,3,BOX ELDER
36,30036,316.4,807.1,2.55,58.5,3.0,4.2,51.3,76.9,3.0,0.0,1.4,2.9,6.7,1.4,17.5,25.6,0.0,0.0,0.0,18.4,32172,0.0,0.0,0.0,3,BOX ELDER
37,30037,65.7,206.4,3.14,128.6,8.8,9.4,110.4,145.1,7.4,1.4,6.5,2.9,1.7,3.2,2.6,103.0,0.0,0.0,12.7,3.8,57626,0.0,0.0,0.0,3,BOX ELDER
38,30038,338.6,866.3,2.56,228.9,29.6,18.7,180.6,249.6,21.3,8.3,2.2,16.5,21.7,58.5,26.1,74.3,0.0,0.0,1.0,19.7,40255,0.0,0.0,0.0,3,BOX ELDER
39,30039,118.8,285.6,2.4,146.9,59.6,41.7,45.6,209.5,57.6,2.0,9.5,32.2,7.7,4.7,3.4,29.8,0.0,0.0,55.7,6.9,68477,0.0,0.0,0.0,3,BOX ELDER
40,30040,176.7,393.7,2.23,187.7,18.3,7.4,162.1,204.1,18.0,0.2,1.2,6.2,0.2,44.8,60.4,56.7,0.0,0.0,6.1,10.3,40901,499.0,0.0,0.0,3,BOX ELDER
41,30041,137.0,420.4,3.07,7.9,0.0,1.5,6.4,15.9,0.0,0.0,0.1,1.4,0.0,0.0,0.0,6.4,0.0,0.0,0.0,8.0,42920,0.0,0.0,0.0,3,BOX ELDER
42,30042,200.4,554.7,2.77,156.7,18.7,85.1,52.9,174.4,2.9,15.8,85.1,0.0,3.4,0.0,0.0,49.5,0.0,0.0,6.1,11.6,33991,0.0,0.0,0.0,3,BOX ELDER
43,30043,165.2,458.1,2.77,8.8,0.2,5.9,2.7,18.4,0.2,0.1,0.4,5.5,0.1,0.2,0.1,2.3,0.0,0.0,0.0,9.6,33659,0.0,0.0,0.0,3,BOX ELDER
44,30044,115.8,296.2,2.56,337.1,140.4,48.9,147.9,356.0,133.7,6.7,31.9,17.0,9.9,15.9,24.7,97.4,0.0,0.0,12.1,6.7,30165,0.0,0.0,0.0,3,BOX ELDER
45,30045,63.5,187.5,2.95,10.2,1.3,2.1,6.8,13.9,1.2,0.1,1.8,0.3,0.1,0.3,1.8,4.7,0.0,0.0,0.0,3.7,30165,0.0,0.0,0.0,3,BOX ELDER
46,30046,196.3,540.7,2.75,773.8,108.2,31.9,633.6,786.7,85.7,22.5,17.4,14.5,25.6,281.7,47.7,278.7,0.0,0.0,1.5,11.4,43652,0.0,0.0,0.0,3,BOX ELDER
47,30047,168.2,450.6,2.68,144.2,2.0,2.5,139.6,154.5,1.7,0.4,1.8,0.8,0.9,132.7,0.5,5.6,0.0,0.0,0.5,9.8,43652,0.0,979.0,0.0,3,BOX ELDER
48,30048,96.7,305.3,3.16,1.9,1.1,0.4,0.4,7.5,1.1,0.1,0.3,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.0,5.6,68477,0.0,0.0,0.0,3,BOX ELDER
49,30049,270.0,747.3,2.77,3.5,1.0,0.0,2.5,19.2,1.0,0.0,0.0,0.0,1.1,1.3,0.0,0.0,0.0,0.0,0.0,15.7,36440,0.0,0.0,0.0,3,BOX ELDER
50,30050,85.6,231.6,2.71,4.4,0.0,0.0,4.3,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,5.0,68477,0.0,0.0,0.0,3,BOX ELDER
51,30051,79.2,202.8,2.56,4.8,0.0,0.0,4.8,43.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,4.3,0.0,0.0,34.4,4.6,68477,0.0,0.0,0.0,3,BOX ELDER
52,30052,150.1,386.3,2.57,53.8,0.7,3.1,50.0,63.0,0.4,0.2,1.1,1.9,0.8,15.3,26.7,7.2,0.0,0.0,0.5,8.7,36440,0.0,0.0,0.0,3,BOX ELDER
53,30053,156.8,530.5,3.38,9.0,0.0,1.5,7.5,32.3,0.0,0.0,0.0,1.4,2.2,0.0,3.1,2.1,0.0,0.0,14.2,9.1,60482,0.0,0.0,0.0,3,BOX ELDER
54,30054,97.6,279.6,2.86,8.3,1.8,2.0,4.5,15.0,1.5,0.3,1.4,0.6,0.2,0.7,0.4,3.1,0.0,0.0,1.0,5.7,59889,0.0,0.0,0.0,3,BOX ELDER
